	Size	network
ClusterID:1	48	1718
ClusterID:2	24	409
ClusterID:3	38	1662
ClusterID:4	45	1658
ClusterID:5	49	1656
ClusterID:6	28	645
ClusterID:7	43	1656
ClusterID:8	38	1446
ClusterID:9	43	1507
ClusterID:10	33	775
ClusterID:11	23	334
ClusterID:12	25	548
ClusterID:13	34	896
ClusterID:14	48	1901
ClusterID:15	29	574
ClusterID:16	39	1448
ClusterID:17	48	1512
ClusterID:18	41	1323
ClusterID:19	23	548
ClusterID:20	27	630
ClusterID:21	24	478
ClusterID:22	41	1377
ClusterID:23	30	776
ClusterID:24	48	2340
ClusterID:25	35	749
ClusterID:26	22	407
ClusterID:27	27	579
ClusterID:28	47	2295
